Product,City,Stock_Level,Category,ds,yhat,yhat_lower,yhat_upper,Week,Reorder_Point,Reorder_Point_Weekly
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-01-15,372.3560329913787,372.3560329873658,372.3560329953164,3,409.5916362905166,1360.305577170096
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-01-18,245.9646839041194,245.9646839004417,245.96468390829637,3,270.5611522945314,1360.305577170096
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-03,156.66567215517182,156.66567215087545,156.66567215897092,5,172.33223937068902,344.66447874137805
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-10,405.3948212282292,405.39482122423055,405.3948212320666,6,445.93430335105216,4664.612164290557
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-11,1714.8834352674785,1714.8834352630647,1714.883435271535,6,1886.3717787942264,4664.612164290557
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-12,4689.222103802252,4689.222103796549,4689.2221038073,7,5158.1443141824775,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-14,1210.5597840520086,1208.0126749552392,1211.180792731835,7,1331.6157624572095,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-15,5166.1890789745175,5161.449089173465,5168.440115906325,7,5682.80798687197,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-16,4174.733065038437,4167.329816240559,4179.08045781542,7,4592.206371542282,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-17,1690.402072538053,1679.944974173503,1696.4634885058344,7,1859.4422797918585,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-18,3235.9953102698505,3221.776384328456,3244.532381562861,7,3559.594841296836,43667.18562653795
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-19,6437.125665558629,6419.745702951677,6448.255044812672,8,7080.838232114493,76830.81963389719
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-20,1635.2248272942954,1612.5230228315656,1649.125376044844,8,1798.747310023725,76830.81963389719
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-21,3337.3804049836444,3310.427662417021,3354.620527142383,8,3671.118445482009,76830.81963389719
Samsung Smartwatch,Dire Dawa,20,Electronics,2024-02-22,7423.137151915382,7391.031098123377,7444.879636694719,8,8165.450867106921,76830.81963389719
